Component,Version,Group,Is_Direct,License,Vulnerabilities
spring-kafka,4.0.1,org.springframework.kafka,True,['Apache-2.0'],
spring-context,7.0.2,org.springframework,False,['Apache-2.0'],
spring-messaging,7.0.2,org.springframework,False,['Apache-2.0'],
spring-tx,7.0.2,org.springframework,False,['Apache-2.0'],
spring-orm,7.0.2,org.springframework,True,['Apache-2.0'],
spring-beans,7.0.2,org.springframework,False,['Apache-2.0'],
spring-core,7.0.2,org.springframework,False,['Apache-2.0'],
spring-jdbc,7.0.2,org.springframework,False,['Apache-2.0'],
spring-security-oauth2-jose,7.0.2,org.springframework.security,True,['Apache-2.0'],
spring-security-core,7.0.2,org.springframework.security,False,['Apache-2.0'],
spring-security-crypto,7.0.2,org.springframework.security,False,['Apache-2.0'],
spring-security-oauth2-core,7.0.2,org.springframework.security,False,['Apache-2.0'],
nimbus-jose-jwt,10.4,com.nimbusds,False,['Apache-2.0'],
spring-security-config,7.0.2,org.springframework.security,True,['Apache-2.0'],
spring-aop,7.0.2,org.springframework,False,['Apache-2.0'],
spring-security-web,7.0.2,org.springframework.security,True,['Apache-2.0'],
spring-expression,7.0.2,org.springframework,False,['Apache-2.0'],
spring-web,7.0.2,org.springframework,False,['Apache-2.0'],
spring-webflux,7.0.2,org.springframework,True,['Apache-2.0'],
reactor-core,3.8.1,io.projectreactor,False,['Apache-2.0'],
reactive-streams,1.0.4,org.reactivestreams,False,['MIT-0'],
springfox-swagger-ui,3.0.0,io.springfox,True,['Apache-2.0'],
springfox-spring-webmvc,3.0.0,io.springfox,False,['Apache-2.0'],
springfox-core,3.0.0,io.springfox,False,['Apache-2.0'],
springfox-swagger2,3.0.0,io.springfox,True,['Apache-2.0'],
springfox-spi,3.0.0,io.springfox,False,['Apache-2.0'],
springfox-schema,3.0.0,io.springfox,False,['Apache-2.0'],
springfox-swagger-common,3.0.0,io.springfox,False,['Apache-2.0'],
swagger-annotations,2.1.2,io.swagger.core.v3,False,['Apache-2.0'],
springfox-spring-web,3.0.0,io.springfox,False,['Apache-2.0'],
classgraph,4.8.83,io.github.classgraph,False,['MIT'],
springfox-spring-webflux,3.0.0,io.springfox,False,['Apache-2.0'],
