repo_url,stars,forks,releases_count,tags_count,closed_issues_count,created_at,updated_at,retrieval_uuid,retrieved_at
https://github.com/vega/altair,10262,836,39,48,1979,2015-09-19T03:14:04Z,2026-02-13T12:10:22Z,94b47a89-f672-46cd-a917-6c7b5a6a03f1,2026-02-14T19:45:14.918025Z
https://github.com/jawah/charset_normalizer,736,62,56,56,121,2019-08-02T15:37:20Z,2026-02-08T03:55:51Z,70f1ea99-c628-42de-a004-0cd19db220a0,2026-02-14T19:45:14.928534Z
https://github.com/python/typing_extensions,550,134,26,55,301,2022-05-19T13:12:25Z,2026-02-09T21:15:42Z,e8dab1f8-d88f-4cd2-ae4b-7e2ef4bfc539,2026-02-13T22:49:47.718094Z
https://github.com/python/tzdata,98,28,29,40,27,2020-02-21T14:32:53Z,2026-02-06T10:53:16Z,fc957668-47b4-4f26-b785-d9c550d1b44e,2026-02-13T22:49:46.265717Z
https://github.com/pallets-eco/blinker,2021,186,10,17,52,2013-07-03T10:32:39Z,2026-02-08T13:41:57Z,d9008785-74e8-4c36-9e89-3d5ebf9cc4cd,2026-02-14T19:45:14.958059Z
https://github.com/matplotlib/matplotlib,22402,8189,97,146,10033,2011-02-19T03:17:12Z,2026-02-14T18:43:11Z,c12a07e2-5b49-4f23-ac7d-afce070c5bd7,2026-02-14T19:45:15.012598Z
https://github.com/python/importlib_metadata,139,94,80,127,403,2020-10-22T20:13:11Z,2026-01-24T09:55:42Z,52791de2-68f8-4581-bf7a-7859314ffe8e,2026-02-14T19:45:15.041623Z
https://github.com/plotly/dash,24475,2255,98,133,1548,2015-04-10T01:53:08Z,2026-02-14T19:01:52Z,304f9365-0b2d-4021-b091-3f27baf1875c,2026-02-14T19:45:15.055635Z
https://github.com/plotly/plotly.py,18248,2775,102,165,2605,2013-11-21T05:53:08Z,2026-02-14T13:50:25Z,1dfde6ae-72ae-4c41-abd8-d677f2e2ebc1,2026-02-14T19:45:15.060642Z
https://github.com/gitpython-developers/smmap,71,30,1,31,18,2011-06-08T12:37:12Z,2025-11-24T02:27:49Z,049b5442-a952-4c13-a023-be3e664976c2,2026-02-14T19:45:15.075149Z
